Time_s	Pulse	Resp
0.842	3059.000	674.692
0.846	3038.000	673.791
0.850	3015.000	672.912
0.854	2991.000	672.058
0.858	2968.000	671.231
0.862	2943.000	670.431
0.866	2916.000	669.659
0.870	2890.000	668.919
0.874	2861.000	668.210
0.878	2833.000	667.534
0.882	2801.000	666.893
0.886	2769.000	666.288
0.890	2736.000	665.721
0.894	2704.000	665.191
0.898	2670.000	664.694
0.902	2639.000	664.230
0.906	2608.000	663.794
0.910	2575.000	663.384
0.914	2543.000	662.998
0.918	2511.000	662.633
0.922	2480.000	662.287
0.926	2449.000	661.956
0.930	2419.000	661.637
0.934	2390.000	661.330
0.938	2363.000	661.029
0.942	2336.000	660.734
0.946	2311.000	660.441
0.950	2285.000	660.148
0.954	2261.000	659.851
0.958	2236.000	659.550
0.962	2213.000	659.243
0.966	2189.000	658.929
0.970	2166.000	658.607
0.974	2145.000	658.276
0.978	2124.000	657.935
0.982	2103.000	657.583
0.986	2084.000	657.219
0.990	2065.000	656.842
0.998	2030.000	656.044
1.002	2015.000	655.621
1.006	2000.000	655.181
1.010	1989.000	654.723
1.014	1976.000	654.246
1.018	1965.000	653.749
1.022	1953.000	653.234
1.026	1943.000	652.709
1.030	1930.000	652.180
1.034	1918.000	651.654
1.038	1904.000	651.137
1.042	1890.000	650.637
1.046	1875.000	650.160
1.050	1859.000	649.713
1.054	1844.000	649.303
1.058	1828.000	648.936
1.062	1811.000	648.620
1.066	1795.000	648.361
1.070	1779.000	648.165
1.074	1763.000	648.040
1.078	1746.000	647.993
1.082	1730.000	648.029
1.086	1714.000	648.143
1.090	1696.000	648.319
1.094	1680.000	648.540
1.098	1664.000	648.787
1.102	1649.000	649.044
1.106	1634.000	649.294
1.110	1618.000	649.520
1.114	1604.000	649.703
1.118	1590.000	649.827
1.122	1575.000	649.875
1.126	1564.000	649.829
1.130	1551.000	649.672
1.134	1539.000	649.387
1.138	1525.000	648.956
1.142	1513.000	648.363
1.146	1500.000	647.591
1.150	1485.000	646.643
1.154	1471.000	645.546
1.158	1459.000	644.324
1.162	1446.000	643.003
1.166	1434.000	641.609
1.170	1423.000	640.167
1.174	1413.000	638.704
1.178	1404.000	637.244
1.182	1394.000	635.813
1.186	1388.000	634.437
1.190	1379.000	633.142
1.194	1371.000	631.954
1.198	1365.000	630.897
1.202	1360.000	629.998
1.206	1355.000	629.281
1.210	1351.000	628.773
1.214	1348.000	628.475
1.218	1344.000	628.367
1.222	1343.000	628.429
1.226	1340.000	628.640
1.230	1340.000	628.978
1.234	1338.000	629.423
1.238	1336.000	629.954
1.242	1335.000	630.551
1.246	1333.000	631.192
1.250	1331.000	631.856
1.254	1330.000	632.524
1.258	1326.000	633.173
1.262	1324.000	633.783
1.266	1323.000	634.333
1.270	1320.000	634.802
1.274	1320.000	635.170
1.278	1318.000	635.429
1.282	1316.000	635.581
1.286	1315.000	635.630
1.290	1315.000	635.579
1.294	1314.000	635.433
1.298	1314.000	635.194
1.302	1314.000	634.866
1.306	1314.000	634.453
1.310	1314.000	633.958
1.314	1314.000	633.386
1.318	1316.000	632.739
1.322	1318.000	632.020
1.326	1320.000	631.235
1.330	1325.000	630.386
1.334	1330.000	629.476
1.338	1334.000	628.510
1.342	1339.000	627.497
1.346	1344.000	626.449
1.350	1348.000	625.381
1.354	1351.000	624.307
1.358	1356.000	623.241
1.362	1360.000	622.196
1.366	1365.000	621.187
1.370	1371.000	620.227
1.374	1383.000	619.330
1.378	1394.000	618.510
1.382	1410.000	617.781
1.386	1428.000	617.157
1.390	1453.000	616.652
1.394	1479.000	616.280
1.398	1513.000	616.054
1.402	1549.000	615.987
1.406	1593.000	616.078
1.410	1640.000	616.307
1.414	1694.000	616.654
1.418	1750.000	617.100
1.422	1813.000	617.625
1.426	1878.000	618.210
1.430	1945.000	618.835
1.434	2015.000	619.481
1.438	2086.000	620.128
1.442	2160.000	620.755
1.446	2231.000	621.345
1.450	2300.000	621.877
1.454	2371.000	622.331
1.458	2439.000	622.689
1.462	2504.000	622.929
1.466	2566.000	623.035
1.470	2626.000	623.002
1.474	2683.000	622.846
1.478	2736.000	622.580
1.482	2788.000	622.219
1.486	2835.000	621.779
1.490	2880.000	621.273
1.494	2924.000	620.716
1.498	2963.000	620.123
1.502	2999.000	619.508
1.506	3033.000	618.887
1.510	3063.000	618.273
1.514	3088.000	617.682
1.518	3110.000	617.128
1.522	3129.000	616.625
1.526	3145.000	616.189
1.530	3159.000	615.833
1.534	3169.000	615.561
1.538	3176.000	615.365
1.542	3183.000	615.236
1.546	3186.000	615.167
1.550	3186.000	615.150
1.554	3184.000	615.175
1.558	3180.000	615.236
1.562	3175.000	615.323
1.566	3170.000	615.429
1.570	3163.000	615.545
1.574	3154.000	615.663
1.578	3141.000	615.775
1.582	3129.000	615.873
1.586	3114.000	615.948
1.590	3098.000	615.992
1.594	3079.000	615.998
1.598	3058.000	615.965
1.602	3034.000	615.900
1.606	3009.000	615.813
1.610	2983.000	615.710
1.614	2953.000	615.600
1.618	2924.000	615.491
1.622	2895.000	615.390
1.626	2863.000	615.306
1.630	2830.000	615.246
1.634	2796.000	615.218
1.638	2763.000	615.231
1.642	2729.000	615.292
1.646	2694.000	615.409
1.650	2660.000	615.590
1.654	2628.000	615.844
1.658	2595.000	616.177
1.662	2563.000	616.587
1.666	2531.000	617.061
1.670	2501.000	617.585
1.674	2473.000	618.147
1.678	2445.000	618.733
1.682	2419.000	619.330
1.686	2394.000	619.925
1.690	2368.000	620.504
1.694	2345.000	621.054
1.698	2320.000	621.561
1.702	2298.000	622.013
1.706	2276.000	622.395
1.710	2254.000	622.696
1.714	2234.000	622.901
1.718	2214.000	622.997
1.722	2195.000	622.971
1.726	2178.000	622.825
1.730	2160.000	622.571
1.734	2145.000	622.225
1.738	2129.000	621.801
1.742	2114.000	621.313
1.746	2100.000	620.777
1.750	2085.000	620.205
1.754	2070.000	619.614
1.758	2056.000	619.016
1.762	2041.000	618.428
1.766	2026.000	617.863
1.770	2009.000	617.337
1.774	1994.000	616.862
1.778	1976.000	616.454
1.782	1959.000	616.128
1.786	1941.000	615.897
1.790	1925.000	615.762
1.794	1906.000	615.709
1.798	1890.000	615.724
1.802	1874.000	615.793
1.806	1858.000	615.903
1.810	1843.000	616.040
1.814	1826.000	616.189
1.818	1811.000	616.337
1.822	1799.000	616.470
1.826	1784.000	616.573
1.830	1769.000	616.634
1.834	1754.000	616.637
1.838	1739.000	616.570
1.842	1724.000	616.418
1.846	1709.000	616.167
1.850	1694.000	615.804
1.854	1680.000	615.328
1.858	1666.000	614.754
1.862	1653.000	614.092
1.866	1640.000	613.358
1.870	1624.000	612.565
1.874	1610.000	611.725
1.878	1594.000	610.853
1.882	1579.000	609.961
1.886	1564.000	609.063
1.890	1551.000	608.172
1.894	1539.000	607.302
1.898	1528.000	606.466
1.902	1518.000	605.677
1.906	1508.000	604.949
1.910	1496.000	604.295
1.914	1486.000	603.728
1.918	1478.000	603.253
1.922	1468.000	602.865
1.926	1456.000	602.561
1.930	1448.000	602.335
1.934	1439.000	602.184
1.938	1428.000	602.103
1.942	1415.000	602.088
1.946	1405.000	602.134
1.950	1393.000	602.237
1.954	1379.000	602.394
1.958	1369.000	602.598
1.962	1360.000	602.847
1.966	1353.000	603.135
1.970	1346.000	603.458
1.974	1341.000	603.813
1.978	1339.000	604.194
1.982	1335.000	604.597
1.986	1334.000	605.017
1.990	1331.000	605.450
1.994	1333.000	605.891
1.998	1334.000	606.335
2.002	1336.000	606.777
2.006	1338.000	607.214
2.010	1339.000	607.639
2.014	1338.000	608.048
2.018	1338.000	608.437
2.022	1336.000	608.801
2.026	1334.000	609.135
2.030	1331.000	609.434
2.034	1329.000	609.694
2.038	1325.000	609.910
2.042	1324.000	610.077
2.046	1321.000	610.197
2.050	1319.000	610.273
2.054	1319.000	610.313
2.058	1319.000	610.321
2.062	1321.000	610.304
2.066	1324.000	610.266
2.070	1326.000	610.215
2.074	1329.000	610.154
2.078	1335.000	610.091
2.082	1341.000	610.031
2.086	1346.000	609.978
2.090	1353.000	609.940
2.094	1358.000	609.922
2.098	1363.000	609.929
2.102	1366.000	609.967
2.106	1370.000	610.042
2.110	1374.000	610.156
2.114	1376.000	610.309
2.118	1380.000	610.501
2.122	1383.000	610.731
2.126	1385.000	610.999
2.130	1390.000	611.304
2.134	1395.000	611.647
2.138	1404.000	612.026
2.142	1415.000	612.441
2.146	1433.000	612.893
2.150	1453.000	613.379
2.154	1480.000	613.901
2.158	1514.000	614.458
2.162	1553.000	615.050
2.166	1598.000	615.675
2.170	1649.000	616.334
2.174	1705.000	617.024
2.178	1768.000	617.745
2.182	1834.000	618.492
2.186	1903.000	619.263
2.190	1975.000	620.056
2.194	2049.000	620.867
2.198	2124.000	621.694
2.202	2198.000	622.535
2.206	2269.000	623.387
2.210	2340.000	624.246
2.214	2409.000	625.112
2.218	2478.000	625.979
2.222	2543.000	626.847
2.226	2606.000	627.713
2.230	2666.000	628.573
2.234	2724.000	629.425
2.238	2778.000	630.263
2.242	2828.000	631.077
2.246	2875.000	631.859
2.250	2919.000	632.598
2.254	2961.000	633.285
2.258	2999.000	633.912
2.262	3031.000	634.467
2.266	3061.000	634.943
2.270	3086.000	635.329
2.274	3105.000	635.615
2.278	3123.000	635.794
2.282	3135.000	635.854
2.286	3148.000	635.787
2.290	3158.000	635.583
2.294	3164.000	635.233
2.298	3171.000	634.727
2.302	3175.000	634.069
2.306	3176.000	633.271
2.310	3174.000	632.349
2.314	3170.000	631.315
2.318	3165.000	630.184
2.322	3156.000	628.970
2.326	3148.000	627.687
2.330	3136.000	626.350
2.334	3124.000	624.972
2.338	3110.000	623.567
2.342	3094.000	622.151
2.346	3078.000	620.736
2.350	3058.000	619.336
2.354	3035.000	617.967
2.358	3011.000	616.642
2.362	2986.000	615.374
2.366	2959.000	614.172
2.370	2931.000	613.034
2.374	2903.000	611.962
2.378	2871.000	610.954
2.382	2840.000	610.011
2.386	2808.000	609.133
2.390	2776.000	608.319
2.394	2745.000	607.570
2.398	2715.000	606.886
2.402	2684.000	606.265
2.406	2655.000	605.709
2.410	2625.000	605.217
